date,CPI level,city,category
2019-07-01,106.4064060555,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-08-01,106.8936447006,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-09-01,107.1897975796,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-10-01,107.3119537415,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-11-01,107.971324985,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2019-12-01,108.1275128128,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-01-01,108.1721875659,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-02-01,108.0688700017,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-03-01,108.4681122341,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-04-01,108.4681122352,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-05-01,108.3145937101,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-06-01,108.3222212776,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-07-01,108.5288783128,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-08-01,108.9792059076,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-09-01,108.8278376981,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-10-01,108.8931092959,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-11-01,109.6290738763,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2020-12-01,109.8132337295,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-01-01,109.4994066587,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-02-01,109.1582537487,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-03-01,109.2044755432,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-04-01,109.2405068561,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-05-01,109.1970062349,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-06-01,109.5036515496,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-07-01,109.5329757,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-08-01,109.3542486332,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-09-01,109.4541569694,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-10-01,109.7398379665,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-11-01,109.9641553558,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2021-12-01,110.44977613,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-01-01,110.3493918879,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-02-01,110.1809180034,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-03-01,110.4323112856,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-04-01,110.7117355001,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-05-01,110.7500009788,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-06-01,111.482315381,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-07-01,111.4817630205,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-08-01,111.6424290047,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-09-01,111.5027766514,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-10-01,111.8082329153,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-11-01,111.9221864,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2022-12-01,112.054428721,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-01-01,112.7720850815,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-02-01,113.3583631304,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-03-01,113.7505751542,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-04-01,113.8660707232,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-05-01,113.9129674134,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-06-01,113.8805391234,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-07-01,114.0618368,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
2023-08-01,114.2682169465,POTOSÍ,Alimentos y bebidas consumidos fuera del hogar
